code;Nom de l'entreprise;raison social;Email;Lien;Description;Adresse;Tel;Fax;Mobile;idwilaya;idcat
1;Briqueterie de Bouira,EURL (BB);;;;;;Tel :+213 26 90 83 81- +213 26 90 81 15;Fax :+213 26 908381;;0;26
2;Complexe de Briqueterie & Tuilerie de Baba Ali,Sarl (CBTBA);;;;;;Tel :+213 21 30 94 65-+213 21 30 94 66;Fax :+213 21 309888;;0;26
3;Briqueterie Lamirette Baraki,Sarl (BLB);;;;;;Tel :+213 21 53 31 73-+213 21 53 49 91;fax +213 21 767216;;0;26
4;Soci‚t‚ Briqueterie Fesdis,Sarl (SBF);;;;;;Tel :+213 33 80 81 32-+21333 80 82 34;Fax :+213 33 808133;;0;26
5;Briqueterie EL OUARSENIS,Sarl;;;;;;Tel :+213 27 71 09 98;Fax :+213 27 710966;;0;26
6;Briqueterie Ceramique du Sud;;;;;;Tel :+213 32 25 70 53-+213 32 25 64 58;Fax :+213 32 258822;;0;26
7;Briqueterie GUERROUACHE,Sarl;;;;;;Tel :+213 35 66 13 13;Fax :+213 35 661313;;0;26
8;Soci‚t‚ Briqueterie Boudoudou Mila (SBMB);;;;;;Tel :+213 31 57 84 84;Fax :+213 31 577851;;43;26
9;Briqueterie Moderne de Saida,Sarl (BMSD);;;;;;Tel :+213 48 51 96 62-+213 66 17 66 15 -+213 66 23 68 13;Fax :+213 48 519662;;20;26
10;Briqueterie GIPAR,Sarl;;;;;;Tel :+213 35 64 14 84-+213 35 64 12 95;Fax :+213 35 641600;;0;26
11;BELHADI Tuilerie Briqueterie Bouzegza;;;;;;Tel :+213 24 84 30 07-+213 24 84 41 29-+213 770 27 82 01;Fax :+213 24 843787-+213 24 84 59 00-+213 24 84 129-+213 24 54 59 00;;0;26
12;BRIQUETERIE EL NAAMA,Sarl;;;;;;Tel :+213 35 62 62 10-+213 771 36 35 98;Fax :+213 35 626210-+213 35 62 61 53;;45;26
13;MACTELL Briqueterie;;;;;;Tel :+213 26 96 85 40-+213 26 96 62 62-+213 26 96 87 35-+213 26 96 83 10-+213 26 90 83 66-+213 66 16 26 47;Fax :+213 26 908366;;0;26
14;Briqueterie SITIFIS,Sarl;;;;;;Tel :+213 36 91 75 26;Fax :+213 36 916370;;0;26
15;BRIQUETERIE FARES,EURL;;;;;;Tel :+213 36 86 47 38;Fax :+213 36 874113-+213 661 31 45 40;;0;26
16;Soci‚t‚ Oum Ali Briqueterie,Sarl (SOAB);;;;;;Tel :+213 37 44 02 10-+213 37 44 02 11-+213 37 44 01 48;Fax :+213 37 440209;;0;26
17;Soci‚t‚ des Briqueteries de Saida,EURL (SOBRIS);;;;;; +213 20 62 50 20;Fax :+213 48 465109;;0;26
18;Entreprise Briquetrie Tuilerie Fr‚ha (EBTF);;;;;; +213 20 62 50 20;Fax :+213 26 348561;;0;26
